state,zip_code,facility,facility_id,facility_latitude,facility_longitude,owner,well_name,well_id,well_designation,well_latitude,well_longitude,collection_date,contaminant,modifier,below_detection_limit,concentration,measurement_unit,limit_exceeded,standard_threshold,standard_type
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-51,16906,downgradient,36.001707,-84.155369,2011-05-03,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-51,16906,downgradient,36.001707,-84.155369,2011-11-22,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-51,16906,downgradient,36.001707,-84.155369,2012-05-16,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-51,16906,downgradient,36.001707,-84.155369,2012-11-07,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-51,16906,downgradient,36.001707,-84.155369,2013-05-08,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-51,16906,downgradient,36.001707,-84.155369,2013-08-12,antimony,,True,0.002,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-51,16906,downgradient,36.001707,-84.155369,2014-02-05,antimony,,True,0.002,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-52,16907,downgradient,36.000738,-84.151325,2011-05-04,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-52,16907,downgradient,36.000738,-84.151325,2011-11-21,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-52,16907,downgradient,36.000738,-84.151325,2012-05-16,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-52,16907,downgradient,36.000738,-84.151325,2012-11-07,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-52,16907,downgradient,36.000738,-84.151325,2013-05-08,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-52,16907,downgradient,36.000738,-84.151325,2013-08-12,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,10-52,16907,downgradient,36.000738,-84.151325,2014-02-04,antimony,,True,0.002,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-1,16908,upgradient,36.009988,-84.153322,2010-05-19,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-1,16908,upgradient,36.009988,-84.153322,2010-11-24,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-1,16908,upgradient,36.009988,-84.153322,2011-05-12,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-1,16908,upgradient,36.009988,-84.153322,2011-11-17,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-1,16908,upgradient,36.009988,-84.153322,2012-05-22,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-1,16908,upgradient,36.009988,-84.153322,2012-11-15,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-1,16908,upgradient,36.009988,-84.153322,2013-05-14,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-1,16908,upgradient,36.009988,-84.153322,2013-08-06,antimony,,True,0.002,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-1,16908,upgradient,36.009988,-84.153322,2014-02-10,antimony,,True,0.002,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-47,16909,downgradient,36.011728,-84.159639,2010-05-19,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-47,16909,downgradient,36.011728,-84.159639,2010-11-24,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-47,16909,downgradient,36.011728,-84.159639,2011-05-09,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-47,16909,downgradient,36.011728,-84.159639,2011-11-15,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-47,16909,downgradient,36.011728,-84.159639,2012-05-21,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-47,16909,downgradient,36.011728,-84.159639,2012-11-13,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-47,16909,downgradient,36.011728,-84.159639,2013-05-13,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-47,16909,downgradient,36.011728,-84.159639,2013-08-06,antimony,,True,0.002,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-47,16909,downgradient,36.011728,-84.159639,2014-02-11,antimony,,True,0.002,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-48,16910,downgradient,36.008866,-84.157722,2010-05-19,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-48,16910,downgradient,36.008866,-84.157722,2010-11-24,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-48,16910,downgradient,36.008866,-84.157722,2011-05-09,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-48,16910,downgradient,36.008866,-84.157722,2011-11-15,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-48,16910,downgradient,36.008866,-84.157722,2012-05-21,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-48,16910,downgradient,36.008866,-84.157722,2012-11-13,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-48,16910,downgradient,36.008866,-84.157722,2013-05-13,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-48,16910,downgradient,36.008866,-84.157722,2013-08-05,antimony,,True,0.002,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-48,16910,downgradient,36.008866,-84.157722,2014-02-11,antimony,,True,0.002,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-49,16911,downgradient,36.00599,-84.156632,2010-05-19,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-49,16911,downgradient,36.00599,-84.156632,2010-11-24,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-49,16911,downgradient,36.00599,-84.156632,2011-05-10,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-49,16911,downgradient,36.00599,-84.156632,2011-11-16,antimony,,True,0.001,mg/L,False,0.006,MCL
TN,37716,Bull Run Fossil Plant,156,36.020556,-84.1575,Tennessee Valley Authority,BRF-49,16911,downgradient,36.00599,-84.156632,2012-05-23,antimony,,True,0.001,mg/L,False,0.006,MCL
