state,zip_code,facility,facility_latitude,facility_longitude,owner,well_name,well_designation,well_latitude,well_longitude,collection_date,contaminant,modifier,below_detection_limit,concentration,measurement_unit,limit_exceeded,standard_threshold,standard_type
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P1,upgradient,35.071199,-90.149379,2011-02-16,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P4,downgradient,35.074798,-90.142416,2011-02-16,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P5,downgradient,35.073632,-90.133827,2011-02-16,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P6,downgradient,35.074899,-90.138542,2011-02-16,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P1,upgradient,35.071199,-90.149379,2011-08-23,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P4,downgradient,35.074798,-90.142416,2011-08-23,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P5,downgradient,35.073632,-90.133827,2011-08-23,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P6,downgradient,35.074899,-90.138542,2011-08-23,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P1,upgradient,35.071199,-90.149379,2012-01-31,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P4,downgradient,35.074798,-90.142416,2012-01-31,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P5,downgradient,35.073632,-90.133827,2012-01-31,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P6,downgradient,35.074899,-90.138542,2012-01-31,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P1,upgradient,35.071199,-90.149379,2012-08-07,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P4,downgradient,35.074798,-90.142416,2012-08-07,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P5,downgradient,35.073632,-90.133827,2012-08-07,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P6,downgradient,35.074899,-90.138542,2012-08-07,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P1,upgradient,35.071199,-90.149379,2013-02-12,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P4,downgradient,35.074798,-90.142416,2013-02-12,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P5,downgradient,35.073632,-90.133827,2013-02-12,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P6,downgradient,35.074899,-90.138542,2013-02-12,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P1,upgradient,35.071199,-90.149379,2013-08-21,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P2,downgradient,35.075259,-90.150808,2013-08-21,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P4,downgradient,35.074798,-90.142416,2013-08-21,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P5,downgradient,35.073632,-90.133827,2013-08-21,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P6,downgradient,35.074899,-90.138542,2013-08-21,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P1,upgradient,35.071199,-90.149379,2014-03-25,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P2,downgradient,35.075259,-90.150808,2014-03-25,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P4,downgradient,35.074798,-90.142416,2014-03-25,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P5,downgradient,35.073632,-90.133827,2014-03-25,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P6,downgradient,35.074899,-90.138542,2014-03-25,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P4,downgradient,35.074798,-90.142416,2014-03-25,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P1,upgradient,35.071199,-90.149379,2014-08-12,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P2,downgradient,35.075259,-90.150808,2014-08-12,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P5,downgradient,35.073632,-90.133827,2014-08-12,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P6,downgradient,35.074899,-90.138542,2014-08-12,antimony,,True,0.0010000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P1,upgradient,35.071199,-90.149379,2016-05-23,antimony,,True,0.0020000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P5,downgradient,35.073632,-90.133827,2016-05-23,antimony,,True,0.0020000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P6,downgradient,35.074899,-90.138542,2016-05-23,antimony,,True,0.0020000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P2,downgradient,35.075259,-90.150808,2016-05-24,antimony,,True,0.0020000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,P4,downgradient,35.074798,-90.142416,2016-05-24,antimony,,True,0.0020000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,ALF-206,downgradient,35.073483,-90.132903,2017-07-13,antimony,,True,0.0025000000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,ALF-203,downgradient,35.074344,-90.139839,2017-07-14,antimony,,True,0.0024700000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,ALF-203,downgradient,35.074344,-90.139839,2017-08-23,antimony,,True,0.0021800000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,ALF-203,downgradient,35.074344,-90.139839,2017-03-29,antimony,,True,0.0019700000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,ALF-203,downgradient,35.074344,-90.139839,2017-07-19,antimony,,True,0.0019700000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,ALF-203,downgradient,35.074344,-90.139839,2017-05-09,antimony,,True,0.0019300000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,ALF-203,downgradient,35.074344,-90.139839,2017-04-19,antimony,,True,0.0018100000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,ALF-203,downgradient,35.074344,-90.139839,2017-01-31,antimony,,True,0.0016800000,mg/L,False,0.006,MCL
TN,38109,Allen Fossil Plant,35.073611,-90.148889,Tennessee Valley Authority,ALF-201,downgradient,35.069411,-90.139789,2017-07-13,antimony,,True,0.0014300000,mg/L,False,0.006,MCL
